PromotionID,PromotionName,Description,DiscountType,DiscountValue,CouponCode,RequiredMinimumPurchase,StartDate,EndDate,IsActive,MaximumUses,CurrentUses,CreatedDate,ModifiedDate
1,Summer Sale,Get ready for summer with our exclusive discounts!,Percentage,15.0,SUMMER15,50.0,2023-06-01T00:00:00,2023-06-30T23:59:59,True,1000,200,2023-05-15T10:00:00,2023-05-20T12:00:00
2,Winter Clearance,Clearance sale on all winter items.,FixedAmount,20.0,WINTER20,100.0,2023-12-01T00:00:00,2023-12-31T23:59:59,True,500,50,2023-11-15T09:00:00,2023-11-25T11:00:00
3,Black Friday Deal,Don't miss our biggest sale of the year!,Percentage,25.0,BLACKFRIDAY,0.0,2023-11-24T00:00:00,2023-11-24T23:59:59,True,2000,1500,2023-10-01T08:00:00,2023-10-10T10:00:00
4,New Year Special,Celebrate the new year with special offers!,FreeShipping,0.0,,30.0,2024-01-01T00:00:00,2024-01-07T23:59:59,True,300,100,2023-12-15T10:00:00,2023-12-20T12:00:00
5,Valentine's Day Offer,Special discounts for your loved ones.,Percentage,10.0,LOVE10,20.0,2024-02-10T00:00:00,2024-02-14T23:59:59,True,400,150,2024-01-20T09:00:00,2024-01-25T11:00:00
6,Spring Festival,Celebrate spring with fresh deals!,FixedAmount,5.0,SPRING5,25.0,2024-03-01T00:00:00,2024-03-31T23:59:59,True,600,250,2024-02-15T10:00:00,2024-02-20T12:00:00
7,Back to School,Get ready for school with our special discounts.,Percentage,12.0,SCHOOL12,40.0,2023-08-01T00:00:00,2023-08-31T23:59:59,True,700,300,2023-07-15T09:00:00,2023-07-20T11:00:00
8,Halloween Spooktacular,Spooky deals for a spooky season!,FixedAmount,10.0,HALLOWEEN10,50.0,2023-10-25T00:00:00,2023-10-31T23:59:59,True,400,100,2023-09-30T08:00:00,2023-10-05T10:00:00
9,Cyber Monday,Exclusive online deals for Cyber Monday.,Percentage,20.0,CYBER20,0.0,2023-11-27T00:00:00,2023-11-27T23:59:59,True,1500,1200,2023-10-15T09:00:00,2023-10-20T11:00:00
10,Easter Egg Hunt,Find the best deals this Easter!,FreeShipping,0.0,,20.0,2024-04-01T00:00:00,2024-04-07T23:59:59,True,500,200,2024-03-15T10:00:00,2024-03-20T12:00:00
